L J MC_steps R2 R2_std E E_std E2 E2_std E4 E4_std Sin1 Sin1_std Cos1 Cos1_std Mag2 Mag2_std Mag4 Mag4_std
200 0.21 4000000 339 0 -54.5384 0 2974.44 0 8.84727e+06 0 0.128113 0 0.0630197 0 0.0203844 0 0.000415522 0 
200 0.21 4400000 402 44.5477 -40.0509 10.2442 1813.96 820.578 4.63716e+06 2.977e+06 0.0151794 0.079856 0.00237526 0.0428821 0.0166677 0.00262804 0.000291627 8.76072e-05 
200 0.21 4800000 513.667 95.8904 -27.8742 12.0619 1213.44 734.632 3.09149e+06 2.35194e+06 0.00675056 0.0536803 -0.000811827 0.0287062 0.0111631 0.00482394 0.000194426 9.85384e-05 
200 0.21 5200000 478 78.2704 -34.7831 10.8461 1680.41 683.462 4.69227e+06 2.24353e+06 0.019714 0.0417962 -0.0069047 0.0221669 0.00938948 0.00393051 0.000149958 8.33356e-05 
200 0.21 5600000 426.2 77.8935 -36.2899 8.78091 1702.48 547.126 4.39517e+06 1.81439e+06 0.0181293 0.033467 -0.00635832 0.0177402 0.00754287 0.0035518 0.000119971 7.18613e-05 
200 0.21 6000000 518 106.001 -31.093 8.72072 1423.08 522.429 3.66275e+06 1.65322e+06 0.0123526 0.0283833 -0.0149984 0.0167559 0.00689579 0.0030182 0.000102209 6.20408e-05 
200 0.21 6400000 567 101.554 -34.6562 8.17047 1668.35 502.079 4.54797e+06 1.63697e+06 0.00562556 0.0251131 -0.00691372 0.0161956 0.00633021 0.00263949 8.88398e-05 5.45993e-05 
200 0.21 6800000 699.75 152.695 -32.8205 7.35248 1509.66 463.719 3.99935e+06 1.52151e+06 0.00609263 0.0219783 -0.00697793 0.0141713 0.00555679 0.00242021 7.77374e-05 4.88901e-05 
200 0.21 7200000 648.778 143.985 -32.7328 6.53606 1455.92 415.297 3.67194e+06 1.38723e+06 0.00105878 0.0201045 -0.00476107 0.0127689 0.00512891 0.0021888 6.94233e-05 4.41592e-05 
200 0.21 7600000 629.6 143.662 -34.0176 6.00741 1518.09 378.392 3.73639e+06 1.25e+06 0.00336952 0.0182263 0.00432485 0.0143654 0.00541571 0.00257037 6.8876e-05 5.00307e-05 
200 0.21 8000000 580.455 143.662 -33.1831 5.51893 1436.16 352.75 3.43132e+06 1.173e+06 -0.00592798 0.0187918 3.09152e-06 0.0136942 0.0059824 0.00257037 7.49514e-05 5.00307e-05 
200 0.21 8400000 559.667 135.676 -32.7323 5.0774 1380.77 327.675 3.19496e+06 1.09881e+06 0.00234687 0.0189603 -0.00459899 0.0133038 0.00646449 0.00234621 8.02449e-05 4.29646e-05 
200 0.21 8800000 562.231 135.676 -34.6929 5.05119 1535.29 336.939 3.83298e+06 1.18512e+06 0.0010214 0.0175481 -0.000242619 0.0132091 0.00619253 0.00234621 7.47322e-05 4.29646e-05 
200 0.21 9200000 538.714 117.901 -37.4916 5.41044 1815.44 429.181 5.68658e+06 2.38466e+06 0.00918963 0.0180962 0.00577832 0.0148491 0.00720565 0.00212488 9.90507e-05 4.07351e-05 
200 0.21 9600000 518.067 117.901 -37.634 5.05162 1799.1 429.181 5.47188e+06 2.38466e+06 0.0112825 0.0170103 0.00751898 0.0148491 0.00690286 0.00212488 9.29204e-05 4.07351e-05 
200 0.21 10000000 524 104.077 -37.0731 4.76694 1737.99 382.458 5.17205e+06 2.14137e+06 0.0133623 0.0160738 0.00482494 0.0130235 0.00667468 0.00192447 8.77738e-05 3.71714e-05 
200 0.21 10400000 525.941 104.077 -37.7332 4.53201 1772.96 382.458 5.18784e+06 2.14137e+06 0.00310463 0.0181079 0.00462661 0.0130235 0.0078073 0.00192447 0.000122159 4.60914e-05 
200 0.21 10800000 512.556 93.1402 -38.4822 4.34167 1820.18 348.681 5.28181e+06 1.90625e+06 -0.0023962 0.017918 -0.00409929 0.0143111 0.00917559 0.00291305 0.000173824 8.75992e-05 
200 0.21 11200000 519.526 93.1402 -38.21 4.12169 1782.78 348.681 5.06862e+06 1.90625e+06 -0.00818387 0.0178853 -0.00850275 0.0143111 0.00976255 0.00291305 0.000186424 8.75992e-05 
200 0.21 11600000 504.6 97.7504 -37.71 3.94581 1733.43 324.424 4.84686e+06 1.76455e+06 -0.0102889 0.0228902 -0.00226555 0.0143307 0.0100765 0.00326371 0.000189968 9.38131e-05 
200 0.21 12000000 504.6 97.7504 -37.71 3.87231 1733.43 324.424 4.84686e+06 1.76455e+06 -0.0102889 0.0228902 -0.00226555 0.0136619 0.0100765 0.00326371 0.000189968 9.38131e-05 
200 0.21 12400000 482.636 97.7504 -39.9505 4.0259 1931.2 350.055 5.82437e+06 1.85524e+06 -0.0112669 0.0228902 -0.00125253 0.0131385 0.0105589 0.00326371 0.000196135 9.38131e-05 
200 0.21 12800000 482.636 97.7504 -39.9505 4.0259 1931.2 350.055 5.82437e+06 1.85524e+06 -0.0112669 0.0228902 -0.00125253 0.013193 0.0105589 0.00326371 0.000196135 9.38131e-05 
200 0.21 13200000 553.667 99.5623 -39.2597 3.7492 1858.63 328.32 5.45206e+06 1.73759e+06 -0.00633247 0.0194141 0.00491392 0.0128033 0.0103903 0.0027348 0.00018591 7.82653e-05 
200 0.21 13600000 553.667 99.5623 -39.2597 3.7492 1858.63 328.32 5.45206e+06 1.73759e+06 -0.00633247 0.0194141 0.00491392 0.0123977 0.0103903 0.0027348 0.00018591 7.82653e-05 
200 0.21 14000000 548.692 92.9613 -39.5725 3.47383 1860.08 303.068 5.30404e+06 1.61022e+06 -0.00122445 0.0194141 0.00777161 0.011979 0.01001 0.0027348 0.000173911 7.82653e-05 
200 0.21 14400000 548.692 92.9613 -39.5725 3.47383 1860.08 303.068 5.30404e+06 1.61022e+06 -0.00122445 0.0194141 0.00777161 0.0117571 0.01001 0.0027348 0.000173911 7.82653e-05 
200 0.21 14800000 535.143 86.4462 -38.5238 3.38028 1772.6 293.774 4.95682e+06 1.53219e+06 -0.000319156 0.0175472 0.0055067 0.0113373 0.00943606 0.00250506 0.000161848 7.06865e-05 
200 0.21 15200000 535.143 86.4462 -38.5238 3.38028 1772.6 293.774 4.95682e+06 1.53219e+06 -0.000319156 0.0175472 0.0055067 0.011119 0.00943606 0.00250506 0.000161848 7.06865e-05 
200 0.21 15600000 537.4 81.5058 -38.213 3.16919 1756.81 274.613 4.90259e+06 1.431e+06 0.00101429 0.0175472 0.00674948 0.0106545 0.00890385 0.00250506 0.00015132 7.06865e-05 
200 0.21 16000000 537.4 81.5058 -38.213 3.16919 1756.81 274.613 4.90259e+06 1.431e+06 0.00101429 0.0175472 0.00674948 0.0104469 0.00890385 0.00250506 0.00015132 7.06865e-05 
200 0.21 16400000 516.25 78.3901 -37.6834 3.01504 1709.06 261.569 4.68172e+06 1.3585e+06 0.00351972 0.0157681 0.00659052 0.010043 0.00865692 0.00230992 0.000144641 6.39108e-05 
200 0.21 16800000 516.25 78.3901 -37.6834 3.01504 1709.06 261.569 4.68172e+06 1.3585e+06 0.00351972 0.0157681 0.00659052 0.00996251 0.00865692 0.00230992 0.000144641 6.39108e-05 
